Ground truth divergence, Estimated divergence, Divergence error (%), Estimated velocity, Maximised contrast, Number of events in the event batch, ECMD duration (s)
0.086851, 0.085559, 1.487220, -8.20496e-07, 0.020841, 31073, 21.578177
0.088332, 0.089803, -1.665448, -8.59444e-07, 0.020602, 30709, 21.351582
